dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
ACSF1,lr_classifier,0.3975611250025395,0.62,0.6138321300277821,0.6138321300277823,1
ACSF1,lr_classifier,0.3942410419986117,0.62,0.6138321300277821,0.6138321300277823,2
ACSF1,lr_classifier,0.3980083749993355,0.62,0.6138321300277821,0.6138321300277823,3
ACSF1,lr_classifier,0.3985702919999312,0.62,0.6138321300277821,0.6138321300277823,4
ACSF1,lr_classifier,0.3974106669993489,0.62,0.6138321300277821,0.6138321300277823,5
Adiac,lr_classifier,0.098662874999718,0.7365728900255755,0.7071510920347434,0.7189922306206125,1
Adiac,lr_classifier,0.1004644579988962,0.7365728900255755,0.7071510920347434,0.7189922306206125,2
Adiac,lr_classifier,0.1027844999989611,0.7365728900255755,0.7071510920347434,0.7189922306206125,3
Adiac,lr_classifier,0.1013818749997881,0.7365728900255755,0.7071510920347434,0.7189922306206125,4
Adiac,lr_classifier,0.1011509170020872,0.7365728900255755,0.7071510920347434,0.7189922306206125,5
AllGestureWiimoteX,lr_classifier,0.083668958999624,0.3042857142857142,0.3061617117232225,0.3061617117232225,1
AllGestureWiimoteX,lr_classifier,0.0806041249998088,0.3042857142857142,0.3061617117232225,0.3061617117232225,2
AllGestureWiimoteX,lr_classifier,0.0775964580025174,0.3042857142857142,0.3061617117232225,0.3061617117232225,3
AllGestureWiimoteX,lr_classifier,0.0806936659973871,0.3042857142857142,0.3061617117232225,0.3061617117232225,4
AllGestureWiimoteX,lr_classifier,0.0808924999982991,0.3042857142857142,0.3061617117232225,0.3061617117232225,5
AllGestureWiimoteY,lr_classifier,0.0727843329987081,0.3671428571428571,0.3565541913729058,0.3565541913729058,1
AllGestureWiimoteY,lr_classifier,0.0778038749995175,0.3671428571428571,0.3565541913729058,0.3565541913729058,2
AllGestureWiimoteY,lr_classifier,0.0757837089986424,0.3671428571428571,0.3565541913729058,0.3565541913729058,3
AllGestureWiimoteY,lr_classifier,0.0732959580018359,0.3671428571428571,0.3565541913729058,0.3565541913729058,4
AllGestureWiimoteY,lr_classifier,0.0772851670008094,0.3671428571428571,0.3565541913729058,0.3565541913729058,5
AllGestureWiimoteZ,lr_classifier,0.0648769580002408,0.3028571428571429,0.3010317924920014,0.3010317924920014,1
AllGestureWiimoteZ,lr_classifier,0.0624292920001607,0.3028571428571429,0.3010317924920014,0.3010317924920014,2
AllGestureWiimoteZ,lr_classifier,0.0671690830022271,0.3028571428571429,0.3010317924920014,0.3010317924920014,3
AllGestureWiimoteZ,lr_classifier,0.06251500000144,0.3028571428571429,0.3010317924920014,0.3010317924920014,4
AllGestureWiimoteZ,lr_classifier,0.0631432910013245,0.3028571428571429,0.3010317924920014,0.3010317924920014,5
ArrowHead,lr_classifier,0.0032116659967869,0.7314285714285714,0.7314328783746618,0.7270742777242409,1
ArrowHead,lr_classifier,0.0030636249975941,0.7314285714285714,0.7314328783746618,0.7270742777242409,2
ArrowHead,lr_classifier,0.0030969590006861,0.7314285714285714,0.7314328783746618,0.7270742777242409,3
ArrowHead,lr_classifier,0.0030967499988037,0.7314285714285714,0.7314328783746618,0.7270742777242409,4
ArrowHead,lr_classifier,0.0030532909986504,0.7314285714285714,0.7314328783746618,0.7270742777242409,5
Beef,lr_classifier,0.0205162499987636,0.9,0.9017316017316016,0.9017316017316016,1
Beef,lr_classifier,0.0204504159992211,0.9,0.9017316017316016,0.9017316017316016,2
Beef,lr_classifier,0.0205457080010091,0.9,0.9017316017316016,0.9017316017316016,3
Beef,lr_classifier,0.0204341249991557,0.9,0.9017316017316016,0.9017316017316016,4
Beef,lr_classifier,0.019304875000671,0.9,0.9017316017316016,0.9017316017316016,5
BeetleFly,lr_classifier,0.001976999999897,0.85,0.849624060150376,0.849624060150376,1
BeetleFly,lr_classifier,0.0018804159990395,0.85,0.849624060150376,0.849624060150376,2
BeetleFly,lr_classifier,0.0017724999997881,0.85,0.849624060150376,0.849624060150376,3
BeetleFly,lr_classifier,0.0017717919981805,0.85,0.849624060150376,0.849624060150376,4
BeetleFly,lr_classifier,0.0018034170025202,0.85,0.849624060150376,0.849624060150376,5
BirdChicken,lr_classifier,0.0032946669998636,0.7,0.696969696969697,0.696969696969697,1
BirdChicken,lr_classifier,0.003563333000784,0.7,0.696969696969697,0.696969696969697,2
BirdChicken,lr_classifier,0.0036934580020897,0.7,0.696969696969697,0.696969696969697,3
BirdChicken,lr_classifier,0.0037984589980624,0.7,0.696969696969697,0.696969696969697,4
BirdChicken,lr_classifier,0.003705874998559,0.7,0.696969696969697,0.696969696969697,5
BME,lr_classifier,0.002283375000843,0.9066666666666666,0.9069185645272602,0.9069185645272604,1
BME,lr_classifier,0.0019608749971666,0.9066666666666666,0.9069185645272602,0.9069185645272604,2
BME,lr_classifier,0.0019872919983754,0.9066666666666666,0.9069185645272602,0.9069185645272604,3
BME,lr_classifier,0.0020319579998613,0.9066666666666666,0.9069185645272602,0.9069185645272604,4
BME,lr_classifier,0.0022854170019854,0.9066666666666666,0.9069185645272602,0.9069185645272604,5
Car,lr_classifier,0.0092899999981455,0.8333333333333334,0.8363005863005863,0.8374004957338291,1
Car,lr_classifier,0.0089131250024365,0.8333333333333334,0.8363005863005863,0.8374004957338291,2
Car,lr_classifier,0.0088696669990895,0.8333333333333334,0.8363005863005863,0.8374004957338291,3
Car,lr_classifier,0.0087904169995454,0.8333333333333334,0.8363005863005863,0.8374004957338291,4
Car,lr_classifier,0.0087726659985492,0.8333333333333334,0.8363005863005863,0.8374004957338291,5
CBF,lr_classifier,0.002615749999677,0.8544444444444445,0.8539618954748106,0.8534521052417731,1
CBF,lr_classifier,0.0027235420020588,0.8544444444444445,0.8539618954748106,0.8534521052417731,2
CBF,lr_classifier,0.0023678750003455,0.8544444444444445,0.8539618954748106,0.8534521052417731,3
CBF,lr_classifier,0.0022566249972442,0.8544444444444445,0.8539618954748106,0.8534521052417731,4
CBF,lr_classifier,0.0025162500023725,0.8544444444444445,0.8539618954748106,0.8534521052417731,5
Chinatown,lr_classifier,0.0010212500019406,0.9825072886297376,0.9783021255060728,0.9826186836793712,1
Chinatown,lr_classifier,0.000853833000292,0.9825072886297376,0.9783021255060728,0.9826186836793712,2
Chinatown,lr_classifier,0.0008190000007743,0.9825072886297376,0.9783021255060728,0.9826186836793712,3
Chinatown,lr_classifier,0.0007998749970283,0.9825072886297376,0.9783021255060728,0.9826186836793712,4
Chinatown,lr_classifier,0.0007809170019754,0.9825072886297376,0.9783021255060728,0.9826186836793712,5
ChlorineConcentration,lr_classifier,0.020561290999467,0.7703125,0.7673193213380015,0.7716094898430046,1
